,OPEN,HIGH,LOW,CLOSE,PE,MACD,SAR,RSI,BOLL,STD,WR,KDJ,CCI,ROC
2005-03-21,9.25,9.5,9.16,9.31,,-0.4916496607285268,9.5,29.509387132876064,10.25076923076923,2.3671123718020173,89.2307692307692,11.15061299538393,-68.71840094062314,-11.837121212121211
2005-03-22,9.35,9.39,9.15,9.15,,-0.49342505736260023,9.42,23.80268474533987,10.173846153846153,2.369143315143632,97.2067039106145,9.102076998590979,-70.99419445227758,-14.485981308411205
2005-03-23,9.1,9.25,9.05,9.19,,-0.48600207686379626,9.366,27.980928810407846,10.09807692307692,2.374927282041994,92.09039548022605,10.985508304645437,-72.98792356890313,-13.220018885741268
2005-03-24,9.11,9.22,8.91,9.03,,-0.4874113989588764,9.3028,22.15072945132815,10.012692307692307,2.362075913413607,93.71727748691103,12.08557696500169,-85.28152241502671,-10.770750988142291
2005-03-28,9.65,9.93,9.5,9.78,,-0.42313196300534983,8.91,64.15851556361615,9.967692307692307,2.9299276313225358,34.5864661654136,36.48842385902072,53.90465429577109,-1.1122345803842388
2005-03-29,9.83,10.37,9.75,10.1,,-0.34242149936078903,8.9304,71.91716536938692,9.952307692307691,2.912970541365446,18.49315068493149,51.494565677703314,135.35917501868647,7.104984093319193
2005-03-30,10.13,10.31,9.9,10.25,,-0.2633187543474058,8.987984,74.9654935574209,9.936153846153847,2.9099098761861213,8.219178082191734,64.9233177577383,144.2147372724217,7.894736842105263
2005-03-31,10.26,10.85,10.25,10.85,,-0.15047963783438334,9.04326464,83.54107379651656,9.960769230769232,3.0047743512485727,0.0,76.61554517182553,202.7565074785136,17.934782608695656
2005-04-01,10.9,11.0,10.75,10.83,,-0.0619534965454438,9.1516687616,82.41186509665916,9.985384615384616,3.0047025079141867,8.133971291866025,81.69903968392835,171.70745508558474,18.102508178844058
2005-04-01,10.9,11.0,10.75,10.83,,-0.0619534965454438,9.1516687616,82.41186509665916,9.985384615384616,3.0047025079141867,8.133971291866025,81.69903968392835,171.70745508558474,18.102508178844058
2005-04-04,10.96,11.0,10.61,10.96,,0.018480984482023288,9.299535260672,84.08934324540398,10.006923076923076,2.988968197470406,1.9138755980860838,87.1614012565902,131.85656494246123,19.130434782608713
2005-04-05,10.52,10.92,10.51,10.82,,0.07012075184562683,9.43557243981824,74.86223147576708,10.000384615384615,2.7880539008664167,8.612440191387547,88.57012077393095,98.04405349352781,17.608695652173925
2005-04-06,10.93,11.2,10.8,11.1,,0.13211634448838616,9.56072664463278,80.10231886109405,10.01576923076923,2.7803384073751074,4.366812227074222,90.92447644026255,106.87309406521247,19.226638023630493
2005-04-07,11.04,11.37,10.931,11.24,,0.1903508818069195,9.724653980169501,82.31431761670936,10.03307692307692,2.7855639369198255,5.284552845528417,91.63236040759038,104.84696506475201,22.841530054644807
2005-04-08,11.38,12.17,11.38,12.01,,0.2952314921640973,9.92209550254916,89.79895744342109,10.084230769230768,3.062285852411744,4.907975460122705,92.21771685574896,140.5356554283224,30.685527747551696
2005-04-11,12.04,12.04,11.5,11.89,,0.3644657995132903,10.236802132192278,83.21309680338929,10.135384615384615,3.05974867606196,8.588957055214705,90.70021064979447,118.32778387771577,31.672203765227035
2005-04-12,11.71,11.9,11.63,11.67,,0.3970058887525365,10.507449833685358,71.65215581270165,10.172692307692303,3.088783527291829,15.337423312883436,85.11958487764076,102.37584009775688,29.235880398671103
2005-04-13,11.73,12.35,11.7,12.11,,0.45307569213083454,10.740206856969408,78.7407569314341,10.231153846153846,3.144188450552175,8.421052631578956,85.73189716480398,121.78609431722126,23.824130879345606
2005-04-14,12.23,12.23,11.78,11.98,,0.4814713991408297,10.997773759854303,72.32835126521435,10.302692307692306,2.9958219734765357,12.982456140350852,83.78503289247803,102.19548307257135,18.613861386138623
2005-04-15,12.58,13.0,11.55,11.69,,0.4750979912524702,11.214129958277613,59.38286318709834,10.36730769230769,3.0386365732863525,40.30769230769232,71.65320800596258,95.41070734294394,14.048780487804875
2005-04-18,11.79,11.89,10.88,11.33,,0.43597240967324247,13.0,46.88286940771035,10.422692307692305,3.105851960431698,53.87096774193548,55.79910836761141,6.8049244980280115,4.423963133640557
2005-04-19,11.39,11.67,11.04,11.62,,0.4234840205764314,12.9576,55.863782909534464,10.506923076923076,2.938447773938487,50.18181818181821,48.83462570419375,5.735338399135726,7.294552169898422
